; Date and time are: 2010-12-18T23:22:13
; Resolution: 670x490
time,input type,event type,target widget class,details
26294,Mouse,MouseMove,QWidget 1,250;230;
26327,Mouse,MouseMove,QWidget 1,250;229;
26344,Mouse,MouseMove,QWidget 1,250;228;
26361,Mouse,MouseMove,QWidget 1,251;228;
26394,Mouse,MouseMove,QWidget 1,251;227;
26411,Mouse,MouseMove,QWidget 1,251;226;
26461,Mouse,MouseMove,QWidget 1,252;225;
26511,Mouse,MouseMove,QWidget 1,253;225;
26528,Mouse,MouseMove,QWidget 1,254;225;
26544,Mouse,MouseMove,QWidget 1,255;225;
26561,Mouse,MouseMove,QWidget 1,256;225;
26578,Mouse,MouseMove,QWidget 1,257;225;
26594,Mouse,MouseMove,QWidget 1,258;225;
27076,Mouse,MouseButtonPress,QWidget 1,258;225;L
27094,Mouse,MouseButtonRelease,QWidget 1,258;225;
27362,Mouse,MouseMove,QWidget 1,257;225;
27379,Mouse,MouseMove,QWidget 1,255;225;
27395,Mouse,MouseMove,QWidget 1,254;225;
27412,Mouse,MouseMove,QWidget 1,253;225;
27428,Mouse,MouseMove,QWidget 1,252;225;
27462,Mouse,MouseMove,QWidget 1,251;225;
27495,Mouse,MouseMove,QWidget 1,249;225;
27529,Mouse,MouseMove,QWidget 1,248;225;
27712,Mouse,MouseMove,QWidget 1,247;225;
27762,Mouse,MouseMove,QWidget 1,247;226;
27779,Mouse,MouseMove,QWidget 1,246;226;
27812,Mouse,MouseMove,QWidget 1,245;226;
27829,Mouse,MouseMove,QWidget 1,245;227;
28290,Mouse,MouseButtonPress,QWidget 1,245;227;L
28309,Mouse,MouseButtonRelease,QWidget 1,245;227;
28679,Mouse,MouseMove,QWidget 1,244;227;
28696,Mouse,MouseMove,QWidget 1,243;228;
28713,Mouse,MouseMove,QWidget 1,242;228;
28729,Mouse,MouseMove,QWidget 1,241;228;
28746,Mouse,MouseMove,QWidget 1,240;229;
28763,Mouse,MouseMove,QWidget 1,239;229;
28780,Mouse,MouseMove,QWidget 1,238;229;
